incident_unique_id	cause	lat	long	lat_c	long_c	confidence	syear
CA-CZU-004714|2001|1	Human	0	0	36.939163	-121.794801	L	2001
GA-CHF-01116|2001|1	Human	0	0	0	0	NF	2001
KY-DBF-02042|2001|1	Human	0	0			NF	2001
TN-CNF-012|2001|1	Human	0	0	0	0	NF	2001
VA-VAF-01064|2001|1	Human	0	0	37.033466	-81.563822	M	2001
2002-10|2002|1	Human	0	0	0	0	NF	2002
AL-ALS-0001|2002|1	Human	0	0	0	0	NF	2002
AL-ALS-0002|2002|1	Human	0	0	0	0	NF	2002
AR-AR06-06|2002|1	Human	0	0	36.468059	-94.506534	H	2002
AZ-CNF-198|2002|1	Human	31.340556	-111.105	31.339285	-111.02296	M	2002
AZ-CNF-223|2002|1	Human	31.355278	-111.186667	31.355278	-110.993504	M	2002
CA-FKU-0010383|2002|1	Human	0	0	36.717767	-119.052655	H	2002
CA-HUU-0001596|2002|1	Human	0	0	41.882881	-124.206411	M	2002
CA-MMU-011533|2002|1	Human	37.391111	-123.000556	37.338083	-120.039731	H	2002
CO-ARF-047|2002|1	Human	0	0	40.728345	-105.306074	M	2002
FL-FLS-D18-155|2002|1	Human	80.733333	-26.15	26.15	-80.733333	H	2002
G0402010|2002|1	Human	0	0	36.922203	-94.625715	M	2002
GA-GAS-AUGFIRE|2002|1	Human	0	0	0	0	NF	2002
GA-GAS-MISC1|2002|1	Human	0	0	0	0	NF	2002
ID-BOF-P41519|2002|1	Human	0	0	44.139823	-115.881054	L	2002
MN32016-02|2002|1	Human	0	0	46.5452	-94.458464	M	2002
MS-MSS-01|2002|1	Human	0	0	30.642796	-88.552287	H	2002
NM-N3S-3083|2002|1	Human	0	0	31.343298	-108.819542	L	2002
OK-OKS-MISC1|2002|1	Human	0	0			NF	2002
TN-D3S-001|2002|1	Human	0	0			NF	2002
TN-D3S-002|2002|1	Human	0	0			NF	2002
TN-D3S-003|2002|1	Human	84.75	-84.75	35.232724	-84.684142	H	2002
TX-AHR-2819|2002|1	Human	0	0			NF	2002
TX-MCR-2664|2002|1	Human	29.613333	-94.098056	29.693937	-93.896673	H	2002
2003-02|2003|1	Human	0	0	0	0	NF	2003
AR-HOP-03043|2003|1	Human	0	0	34.509893	-93.060495	L	2003
B06/03/002|2003|1	Human	0	0	35.095161	-98.152882	M	2003
CA-BTU-012814|2003|1	Human	0	0	39.644866	-121.931023	M	2003
CA-MVU-4134|2003|1	Human	0	0	0	0	NF	2003
CA-SJS-03270155|2003|1	Human	0	0	37.161128	-121.627932	M	2003
CA-SJS03270155|2003|1	Human	0	0	37.161128	-121.627932	M	2003
MI-HMF-15|2003|1	Human	85.625	-85.625	43.419855	-85.624858	M	2003
