incident_unique_id,lat_c,long_c,confidence
CA-CZU-004714|2001|1,36.939163,-121.794801,L
GA-CHF-01116|2001|1,0,0,NF
KY-DBF-02042|2001|1,,,NF
TN-CNF-012|2001|1,0,0,NF
VA-VAF-01064|2001|1,37.033466,-81.563822,M
2002-10|2002|1,0,0,NF
AL-ALS-0001|2002|1,0,0,NF
AL-ALS-0002|2002|1,0,0,NF
AR-AR06-06|2002|1,36.468059,-94.506534,H
AZ-CNF-198|2002|1,31.339285,-111.02296,M
AZ-CNF-223|2002|1,31.355278,-110.993504,M
CA-FKU-0010383|2002|1,36.717767,-119.052655,H
CA-HUU-0001596|2002|1,41.882881,-124.206411,M
CA-MMU-011533|2002|1,37.338083,-120.039731,H
CO-ARF-047|2002|1,40.728345,-105.306074,M
FL-FLS-D18-155|2002|1,26.15,-80.733333,H
G0402010|2002|1,36.922203,-94.625715,M
GA-GAS-AUGFIRE|2002|1,0,0,NF
GA-GAS-MISC1|2002|1,0,0,NF
ID-BOF-P41519|2002|1,44.139823,-115.881054,L
MN32016-02|2002|1,46.5452,-94.458464,M
MS-MSS-01|2002|1,30.642796,-88.552287,H
NM-N3S-3083|2002|1,31.343298,-108.819542,L
OK-OKS-MISC1|2002|1,,,NF
TN-D3S-001|2002|1,,,NF
TN-D3S-002|2002|1,,,NF
TN-D3S-003|2002|1,35.232724,-84.684142,H
TX-AHR-2819|2002|1,,,NF
TX-MCR-2664|2002|1,29.693937,-93.896673,H
2003-02|2003|1,0,0,NF
AR-HOP-03043|2003|1,34.509893,-93.060495,L
B06/03/002|2003|1,35.095161,-98.152882,M
CA-BTU-012814|2003|1,39.644866,-121.931023,M
CA-MVU-4134|2003|1,0,0,NF
CA-SJS-03270155|2003|1,37.161128,-121.627932,M
CA-SJS03270155|2003|1,37.161128,-121.627932,M
MI-HMF-15|2003|1,43.419855,-85.624858,M
MI-MIS-3|2003|1,43.360922,-86.107186,L
ND-NDS-002|2003|1,46.923338,-99.818415,L
ND-NDS-003|2003|1,47.052178,-101.235426,L
OK-OKS-30076|2003|1,35.506922,-94.690672,M
TX-TXS-00004|2003|1,34.920667,-101.140638,L
04-ALS-002|2004|1,30.655417,-87.623319,M
04-ALS-003|2004|1,31.762891,-87.170246,M
04-ALS-004|2004|1,33.311145,-85.893775,M
04-ALS-005|2004|1,33.805852,-85.473711,M
04-ALS-006|2004|1,31.399416,-87.131161,M
04-ALS-007|2004|1,31.4728959,-86.6246526,M
04-ALS-008|2004|1,32.50394,-85.202343,M
04-ALS-009|2004|1,31.4728959,-86.6246526,M
04-ALS-010|2004|1,32.0558782,-86.8981894,M
04-ALS-011|2004|1,32.4727137,-85.7375337,M
04-ALS-012|2004|1,31.3703007,-87.6240425,M
04-ALS-013|2004|1,33.1537597,-87.2557804,M
04-ALS-014|2004|1,32.08651,-87.3071945,M
AZ-GCP-000002|2004|1,36.054074,-112.13322,M
CA-HUU-2685|2004|1,40.026461,-124.063131,H
CA-MVU-5830|2004|1,32.678541,-116.291558,M
CA-MVU-6422|2004|1,33.056,-116.8025,H
KS-KSS-0293|2004|1,39.394116,-96.414121,L
KS-KSX-1331|2004|1,37.056948,-99.695971,L
MD-MDS-2004-4002|2004|1,38.333333,-76.083333,H
MD-MDS-2004-4005|2004|1,38.358333,-76.083333,H
MN-DNR-1210220|2004|1,48.328857,-95.597896,L
MN-MNS-31110035|2004|1,47.796901,-95.622242,L
MO-MOS-000022|2004|1,37.851314,-92.930274,M
MO-MOS-000066|2004|1,0,0,NF
MS-MSS-0057|2004|1,31.649129,-90.371518,L
MS-MSS-0058|2004|1,32.9313,-89.646238,
NC-CLQ-043002|2004|1,35.016667,-76.420833,L
ND-NDS-010|2004|1,46.785974,-102.317112,L
TN-TNS-D2S-003|2004|1,36.480823,-84.031832,M
TX-SRR-A5C8|2004|1,26.434331,-98.921645,H
TX-TXS-04018|2004|2,29.982879,-95.196667,L
AR-ARS-D3 BRADFORD|2005|1,35.418006,-91.46546,H
AR-ARS-D7208|2005|1,35.843611,-92.388333,H
CA-BDC-18657|2005|1,34.079395,-116.406905,H
CA-CDD-7416|2005|1,35.816667,-117.317222,H
CA-MRU-1654|2005|1,37.856285,-122.421765,H
CA-MVU-002516|2005|1,33.288693,-116.959315,M
FL-FLS-2005-18-0048|2005|1,24.6625,-81.271389,H
IL-ILS-001|2005|1,42.441164,-87.814213,H
MN-MNS-121047|2005|1,48.842747,-96.42736,H
MN-MNS-121057|2005|1,48.954054,-95.622087,M
MO-MOS-000015|2005|1,37.879042,-92.810556,H
OK-CHA-005055|2005|1,35.551308,-96.442505,M
TX-PAP-0000|2005|1,26.000468,-97.208727,L
TX-RGR-BL1V|2005|1,26.487951,-99.026134,M
AL-ALS-061215|2006|1,,,L
CA-LMU-3707|2006|1,,,NF
KS-KSX-00093|2006|1,38.919775,-95.876488,L
KY-KYS-2013|2006|1,37.248008,-83.254102,L
KY-KYS-2014|2006|1,37.363857,-83.223704,L
KY-KYS-2015|2006|1,37.413519,-83.716217,L
KY-KYS-2016|2006|1,37.383737,-82.845873,L
KY-KYS-2017|2006|1,37.258637,-82.949386,L
KY-KYS-2018|2006|1,37.08447,-83.040205,L
MS-MSS-00201|2006|1,30.56374,-89.409933,L
MS-MSS-00202|2006|1,34.31176,-90.031699,L
MS-MSS-00203|2006|1,30.413678,-89.517449,L
MS-MSS-00204|2006|1,,,NF
MS-MSS-00205|2006|1,,,NF
MS-MSS-00206|2006|1,,,NF
MS-MSS-00207|2006|1,,,NF
MS-MSS-00208|2006|1,,,NF
MS-MSS-00208A|2006|1,,,NF
MS-MSS-00210|2006|1,,,NF
MS-MSS-00211|2006|1,,,NF
MS-MSS-00213|2006|1,,,NF
MS-MSS-00216|2006|1,,,NF
MS-MSS-00217|2006|1,,,NF
MS-MSS-00218|2006|1,,,NF
MS-MSS-00224|2006|1,,,NF
MS-MSS-00225|2006|1,,,NF
MS-MSS-00226|2006|1,,,NF
MS-MSS-00227|2006|1,,,NF
MS-MSS-00229|2006|1,,,NF
MS-MSS-00230|2006|1,,,NF
MS-MSS-00231|2006|1,,,NF
MS-MSS-00232|2006|1,,,NF
MS-MSS-00233|2006|1,,,NF
MS-MSS-00236|2006|1,,,NF
MS-MSS-00237|2006|1,,,NF
MS-MSS-00243|2006|1,,,NF
MS-MSS-00244|2006|1,,,NF
MS-MSS-00245|2006|1,,,NF
MS-MSS-00246|2006|1,,,NF
MS-MSS-00247|2006|1,,,NF
MS-MSS-00248|2006|1,,,NF
MS-MSS-00249|2006|1,,,NF
MS-MSS-00250|2006|1,,,NF
MS-MSS-00251|2006|1,,,NF
MS-MSS-00252|2006|1,,,NF
MS-MSS-00253|2006|1,,,NF
MS-MSS-00253A|2006|1,,,NF
MS-MSS-00260|2006|1,30.584713,-89.349301,M
MS-MSS-00261|2006|1,34.704968,-89.357764,L
MS-MSS-00262|2006|1,34.751109,-89.448314,L
MS-MSS-00263|2006|1,34.180846,-89.053978,L
MS-MSS-00264|2006|1,34.774434,-89.344643,M
MS-MSS-00266|2006|1,30.706753,-89.310801,L
MS-MSS-00271|2006|1,34.978878,-89.176087,L
MS-MSS-00272|2006|1,34.188959,-90.101389,M
MS-MSS-00362|2006|1,30.41359,-89.521723,M
MS-MSS-00363|2006|1,30.641337,-89.64246,H
MS-MSS-0058|2006|1,30.740456,-89.334087,H
MS-MSS-0060|2006|1,34.809917,-88.139135,L
MS-MSS-0061|2006|1,34.155109,-88.394124,L
MS-MSS-0062|2006|1,33.422653,-88.427339,M
MS-MSS-0063|2006|1,34.30668,-89.143046,L
MS-MSS-0064|2006|1,34.693091,-89.120319,H
MS-MSS-0065|2006|1,34.505806,-88.475163,H
MS-MSS-0066|2006|1,34.637455,-88.302174,L
MS-MSS-0067|2006|1,31.23706,-89.836137,L
MS-MSS-0070|2006|1,31.660228,-90.343805,L
MS-MSS-0071|2006|1,33.398271,-91.07444,L
MS-MSS-0072|2006|1,33.86012,-89.933114,M
MS-MSS-0073|2006|1,33.002909,-89.380629,L
MS-MSS-0077|2006|1,,,NF
MS-MSS-0078|2006|1,31.115164,-88.594151,H
MS-MSS-0079|2006|1,,,NF
MS-MSS-0081|2006|1,31.398941,-90.606887,L
NC-NCS-06069042|2006|1,35.313333,-76.551667,H
OK-OKS-06-50002|2006|1,35.425286,-97.107533,H
OK-OKS-06-50004|2006|1,,,NF
OK-OKS-06-50006|2006|1,,,NF
OK-OKS-06-50008|2006|1,35.989052,-97.013417,L
OK-OKS-06-50009|2006|1,36.654731,-95.181785,L
OK-OKS-06-50010|2006|1,,,NF
OK-OKS-06-50012|2006|1,,,NF
OK-OKS-06-50013|2006|1,,,NF
OK-OKS-06-50014|2006|1,35.449474,-96.774895,M
OK-OKS-06-6052|2006|1,34.685,-97.936785,M
OK-OKS-30538|2006|1,35.481804,-94.786983,L
PA-PAS-16-005|2006|1,,,NF
SC-SCS-6WF0239|2006|1,33.002694,-80.803684,H
TX-RGR-CVM2|2006|1,26.038799,-97.159728,H
UT-SWS-00143|2006|1,37.226667,-113.217222,H
VA-VAS-0014|2006|1,,,NF
FL-EAQ-2007-7037|2007|1,30.616667,-86.283333,H
FL-FLS-2007-02-0927|2007|1,30.300654,-85.53522,L
IN-INS-000001|2007|1,41.641559,-85.208073,L
MN-MNS-253002|2007|1,47.153417,-91.618917,M
MN-MNS-312-0040-07|2007|1,45.902071,-95.149971,M
NC-ECA-074070|2007|1,35.572948,-83.391251,M
