IncidentNum,IncidentName,Date,Time,Status,Incident Type,Start,Cause,IC,IC Org,State Unit,County,Ownership,Nearest Town,Size,Containment,Est Contain Date,Line Est,CTD,Control Date,Control Time,Inj this Period,Inj to Date,Fatalities,Evacs,Human Threat,#Res Threatened,#Res Damaged,#Res Destroyed,#Comm Threatened,#Comm Damaged,#Comm Destroyed,#OB/Other Threatened,#OB/Other Damaged,#OB/Other Destroyed,12hr Mvmt/Sprd,24hr Mvmt/Sprd,48hr Mvmt/Sprd,72hr Mvmt/Sprd,12hr Values at Risk,24hr Values at Risk,48hr Values at Risk,72hr Values at Risk,Rsrcs Threatened,12hr Crit Rsrc Needs,24hr Crit Rsrc Needs,48hr Crit Rsrc Needs,72hr Crit Rsrc Needs,Crit Rsrc 1,Crit Rsrc 2,Crit Rsrc 3,Rsrc Bene/Obj (Rx),Problems & Concerns,Peak Gusts,Max Temp,Wind Direction,Min Rel Humidity,Fuels,Fire Behavior,Events,Forecast Wind Speed,Forecast Temp,Forecast Wind Direction,Forecast Rel Humidity,Est Control Date,Proj Final Size,Est Final Cost,Planned Actions,Growth Potential,Terrain Difficulty,Management Outlook,Demob Date,Remarks,Cooperators,crw1-sr,crw1-st,crw2-sr,crw2-st,hel1-sr,hel2-sr,hel3-sr,engs-sr,engs-st,dozr-sr,dozr-st,wtdr-sr,ovhd-sr,camp crews,total pers,othr,Prepared By,Approved By,Sent To,Sent By,Send Date,Send Time,AG,APHIS,BIA,BLM,BOR,C&L,CDF,DC,DDQ,DOC,DOD,FWS,IA,INTL,LGR,NPS,OES,PRI,ST,USFS,WXW,CNTY,OTHR,DHS
04-ALS-002,Baldwin,3/15/2004,0,Final,Wildland Fire,03/04/2004 0000,Human,,2,AL-ALS,Baldwin,,Sect 36 Township 4S Range 4E,,,3/5/04,,,3/5/04,0,0,0,,FALSE,FALSE,,,,,,,,,, ,,,,,,,, ,,,,,,,, ,, mph,,,,  ,,,,,,,,,,,,,,, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LLH,TCB,ALC,,3/15/04,0,,,,,,,,,,,,,,,,,,,,,,,,
04-ALS-002,Baldwin,3/16/2004,0,Final,Wildland Fire,03/04/2004 0000,Human,,2,AL-ALS,Baldwin,,Sect 36 Township 4S Range 4E,158ACRES,100Percent,3/5/04,,,3/5/04,0,0,0,,FALSE,FALSE,,,,,,,,,, ,,,,,,,, ,,,,,,,, ,, mph,,,, 7 Southern Rough ,,,,,,,03/05/2004 0000,158,,,,,,, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,llh,tcb,alc,,3/15/04,0,,,,,,,,,,,,,,,,,,,,,,,,
04-ALS-005,Cleburne,3/16/2004,0,Final,Wildland Fire,03/07/2004 0000,Human,,2,AL-ALS,Cleburne,,Sect 15 Tnp 14S Rng 11E,210ACRES,100Percent,3/8/04,,,3/8/04,0,0,0,,FALSE,FALSE,,,,,,,,,, ,,,,,,,, ,,,,,,,, ,, mph,,,, 7 Southern Rough ,,,,,,,03/08/2004 0000,210,,,,,,, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LLH,TCB,ALC,,3/15/04,0,,,,,,,,,,,,,,,,,,,,,,,,
04-ALS-006,Conecuh,3/16/2004,0,Final,Wildland Fire,03/11/2004 0000,Human,,1,AL-ALS,Conecuh,,Sect 14 Tnp 5N Rng 9E,250ACRES,100Percent,3/11/04,,,3/11/04,0,0,0,,FALSE,FALSE,,,,,,,,,, ,,,,,,,, ,,,,,,,, ,, mph,,,, 7 Southern Rough ,,,,,,,03/12/2004 0000,250,,,,,,, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LLH,TCB,ALC,,3/15/04,0,,,,,,,,,,,,,,,,,,,,,,,,
04-ALS-007,Covington,3/16/2004,0,Final,Wildland Fire,03/09/2004 0000,Human,,2,AL-ALS,Covington,,Sect 23 Tnp 6N Rng 14E,144ACRES,100Percent,3/10/04,,,3/10/04,0,0,0,,FALSE,FALSE,,,,,,,,,, ,,,,,,,, ,,,,,,,, ,, mph,,,, 7 Southern Rough ,,,,,,,03/10/2004 0000,144,,,,,,, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LLH,TCB,ALC,,3/15/04,0,,,,,,,,,,,,,,,,,,,,,,,,
04-ALS-008,Lee,3/16/2004,0,Final,Wildland Fire,03/12/2004 0000,Human,,2,AL-ALS,Lee,,Sect 35 Tnp 18N Rng 28E,150ACRES,100Percent,3/13/04,,,3/13/04,0,0,0,,FALSE,FALSE,,,,,,,,,, ,,,,,,,, ,,,,,,,, ,, mph,,,, 8 Closed Timber Litter also 10 acres grassland,,,,,,,03/13/2004 0000,150,,,,,,, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LLH,TCB,ALC,,3/15/04,0,,,,,,,,,,,,,,,,,,,,,,,,
04-ALS-009,Lowndes #1,3/16/2004,0,Final,Wildland Fire,03/09/2004 0000,Human,,2,AL-ALS,Lowndes,,Sect 18 Tnp 14N Rng 13E,320ACRES,100Percent,3/10/04,,,3/10/04,0,0,0,,FALSE,FALSE,,,,,,,,,, ,,,,,,,, ,,,,,,,, ,, mph,,,, 8 Closed Timber Litter also low grass,,,,,,,03/10/2004 0000,320,,,,,,, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LLH,TCB,ALC,,3/15/04,0,,,,,,,,,,,,,,,,,,,,,,,,
04-ALS-010,Lowndes #2,3/16/2004,0,Final,Wildland Fire,03/13/2004 0000,Human,,2,AL-ALS,Lowndes,,Sect 31 Tnp 13N Rng 12E,136ACRES,100Percent,3/14/04,,,3/14/04,0,0,0,,FALSE,FALSE,,,,,,,,,, ,,,,,,,, ,,,,,,,, ,, mph,,,, 8 Closed Timber Litter ,,,,,,,03/14/2004 0000,136,,,,,,, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LLH,TCB,ALC,,3/15/04,0,,,,,,,,,,,,,,,,,,,,,,,,
04-ALS-011,Macon,3/16/2004,0,Final,Wildland Fire,03/13/2004 0000,Human,,2,AL-ALS,Macon,,Sect 10 Tnp 17N Rng 23E,285ACRES,100Percent,3/14/04,,,3/14/04,0,0,0,,FALSE,FALSE,,,,,,,,,, ,,,,,,,, ,,,,,,,, ,, mph,,,, 7 Southern Rough ,,,,,,,03/14/2004 0000,285,,,,,,, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LLH,TCB,ALC,,3/15/04,0,,,,,,,,,,,,,,,,,,,,,,,,
04-ALS-012,Monroe,3/16/2004,0,Final,Wildland Fire,03/09/2004 0000,Human,,3,AL-ALS,Monroe,,Sect 25 Tnp 5N Rng 4E,261ACRES,100Percent,3/10/04,,,3/10/04,0,0,0,,FALSE,FALSE,,,,,,,,,, ,,,,,,,, ,,,,,,,, ,, mph,,,, 7 Southern Rough Young Pine Plantation,,,,,,,03/10/2004 0000,261,,,,,,, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LLH,TCB,ALC,,3/15/04,0,,,,,,,,,,,,,,,,,,,,,,,,
04-ALS-015,Girl Scout Camp,3/24/2004,0,Final,Wildland Fire,03/22/2004 0000,Human,,2,AL-ALS,Calhoun,,"Sect.31, Tnp 14S, Rng 9E",262ACRES,100Percent,3/23/04,,,3/23/04,1700,0,0,,FALSE,FALSE,,,,,,,20,,, ,,,,,,,, ,,,,,,,, ,, mph,,,, 9 Hardwood Litter ,,,,,,,03/23/2004 0000,262,,,,,,, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LLH,TCB,ALC,LLH,3/24/04,0,,,,,,,,,,,,,,,,,,,,,,,,
04-ALS-016,Etowah,3/25/2004,0,Final,Wildland Fire,03/23/2004 0930,Human,,2,AL-ALS,Etowah,,"Sect.4 Tnp 13S, Rng 7E",400ACRES,100Percent,3/24/04,,,3/25/04,0,0,0,,FALSE,FALSE,,,,,,,,,, ,,,,,,,, ,,,,,,,, ,, mph,,,, 9 Hardwood Litter ,,,,,,,03/25/2004 0000,400,,,,,,, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LLH,TCB,ALC,,3/25/04,0,,,,,,,,,,,,,,,,,,,,,,,,
04-ALS-018,Calhoun,3/29/2004,0,Final,Wildland Fire,03/20/2004 0000,Human,,2,AL-ALS,Calhoun,,Sect 20 Tnp 15S Rng 9E,225ACRES,100Percent,3/21/04,,,3/21/04,0,0,0,,FALSE,FALSE,,,,,,,,,, ,,,,,,,, ,,,,,,,, ,, mph,,,, 8 Closed Timber Litter ,,,,,,,03/21/2004 0000,225,,,,,,, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LLH,TCB,ALC,,3/29/04,0,,,,,,,,,,,,,,,,,,,,,,,,
04-ALS-019,Cherokee 1,3/29/2004,0,Final,Wildland Fire,03/21/2004 0000,Human,,3,AL-ALS,Cherokee,,Sect 6 Tnp 9S Rng 11E,300ACRES,100Percent,3/21/04,,,3/21/04,0,0,0,,FALSE,FALSE,,,,,,,,,, ,,,,,,,, ,,,,,,,, ,, mph,,,, 8 Closed Timber Litter Pine Plantation 15 yrs old,,,,,,,03/21/2004 0000,300,,,,,,, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LLH,TCB,ALC,,3/29/04,0,,,,,,,,,,,,,,,,,,,,,,,,
04-ALS-020,Cherokee 2,3/29/2004,0,Final,Wildland Fire,03/25/2004 0000,Human,,2,AL-ALS,Cherokee,,Sect 24 Tnp 12S Rng 11E,410ACRES,100Percent,3/26/04,,,3/26/04,0,0,0,,FALSE,FALSE,,,,,,,,,, ,,,,,,,, ,,,,,,,, ,, mph,,,, 8 Closed Timber Litter 80 acres 6 yr old pine plantation. Rest on steep rocky terrain,,,,,,,03/26/2004 0000,410,,,,,,, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LLH,TCB,ALC,,3/29/04,0,,,,,,,,,,,,,,,,,,,,,,,,
04-ALS-021,Conecuh 2,3/29/2004,0,Final,Wildland Fire,03/18/2004 0000,Human,,2,AL-ALS,Conecuh,,Sect 25 Tnp4N Rng 7E,152ACRES,100Percent,3/19/04,,,3/19/04,0,0,0,,FALSE,FALSE,,,,,,,,,, ,,,,,,,, ,,,,,,,, ,, mph,,,, 7 Southern Rough Young Pine Plantation,,,,,,,03/19/2004 0000,152,,,,,,, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LLH,TCB,ALC,,3/29/04,0,,,,,,,,,,,,,,,,,,,,,,,,
04-ALS-022,Escambia,3/29/2004,0,Final,Wildland Fire,03/27/2004 0000,Human,,2,AL-ALS,Escambia,,Sect 5 Tnp 3N Rng 8E,400ACRES,100Percent,3/28/04,,,3/28/04,0,0,0,,FALSE,FALSE,,,,,,,,,, ,,,,,,,, ,,,,,,,, ,, mph,,,, 7 Southern Rough 10 year old pine plantation,,,,,,,03/28/2004 0000,400,,,,,,, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LLH,TCB,ALC,,3/29/04,0,,,,,,,,,,,,,,,,,,,,,,,,
04-ALS-023,Jefferson,3/29/2004,0,Final,Wildland Fire,03/25/2004 0000,Human,,2,AL-ALS,Jefferson,,Sect 10 Tnp 16S Rng 4W,200ACRES,100Percent,3/26/04,,,3/26/04,0,0,0,,FALSE,FALSE,,,,,,,,,, ,,,,,,,, ,,,,,,,, ,, mph,,,, 9 Hardwood Litter ,,,,,,,03/26/2004 0000,200,,,,,,, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LLH,TCB,ALC,,3/29/04,0,,,,,,,,,,,,,,,,,,,,,,,,
04-ALS-024,McGowin,3/30/2004,0,Final,Wildland Fire,03/23/2004 0000,Human,,2,AL-ALS,Mobile,,Sect 26 Tnp 4S Rng 4W,353ACRES,100Percent,3/24/04,,,3/24/04,0,0,0,,FALSE,FALSE,,,,,,,,,, ,,,,,,,, ,,,,,,,, ,, mph,,,, 7 Southern Rough ,,,,,,,03/24/2004 0000,353,,,,,,, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,llh,TCB,ALC,,3/30/04,0,,,,,,,,,,,,,,,,,,,,,,,,
04-ALS-025,Risers Mill Road,3/30/2004,0,Final,Wildland Fire,03/24/2004 0000,Human,,2,AL-ALS,Talladega,,Sect 9 Tnp 20S Rng 4E,400ACRES,100Percent,3/24/04,,,3/25/04,0,0,0,,FALSE,FALSE,15,,,,,,20,,, ,,,,,,,, ,,,,,,,, ,, mph,,,, 8 Closed Timber Litter ,,,,,,,03/25/2004 0000,400,,,,,,, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LLH,TCB,ALC,,3/30/04,0,,,,,,,,,,,,,,,,,,,,,,,,
04-ALS-026,Tuscaloosa 2,3/30/2004,0,Final,Wildland Fire,03/28/2004 0000,Human,,3,AL-ALS,Tuscaloosa,,Sect 23 Tnp 22S Rng 8W,175ACRES,100Percent,3/29/04,,,3/29/04,0,0,0,,FALSE,FALSE,,,,,,,,,, ,,,,,,,, ,,,,,,,, ,, mph,,,, 8 Closed Timber Litter ,,,,,,,03/29/2004 0000,175,,,,,,, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LLH,TCB,ALC,,3/30/04,0,,,,,,,,,,,,,,,,,,,,,,,,
04-ALS-027,Washington 1,3/30/2004,0,Final,Wildland Fire,03/20/2004 0000,Human,,3,AL-ALS,Washington,,Sect 33 Tnp 3N Rng 1E,296ACRES,100Percent,3/21/04,,,3/21/04,0,0,0,,FALSE,FALSE,,,,,,,,,, ,,,,,,,, ,,,,,,,, ,, mph,,,, 7 Southern Rough ,,,,,,,03/21/2004 0000,296,,,,,,, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LLH,TCB,ALC,,3/30/04,0,,,,,,,,,,,,,,,,,,,,,,,,
04-ALS-028,Washington 2,3/30/2004,0,Final,Wildland Fire,03/23/2004 0000,Human,,3,AL-ALS,Washington,,Sect 7 Tnp 5N Rng 1E,110ACRES,100Percent,3/24/04,,,3/24/04,0,0,0,,FALSE,FALSE,,,,,,,,,, ,,,,,,,, ,,,,,,,, ,, mph,,,, 7 Southern Rough ,,,,,,,03/24/2004 0000,110,,,,,,, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LLH,TCB,ALC,,3/30/04,0,,,,,,,,,,,,,,,,,,,,,,,,
