incident_unique_id,eyear,state,incidentnum,incidentname,emonth,eday,edoy,syear,smonth,sday,sdoy,area_km2,costs,fatalities,home.destroyed,home.threat,max.pers,max.aerial,tot.pers,tot.aerial,max.agency.support,cause,confidence,geometry
04-ALS-001|2004|1,2004,AL,04-ALS-001,1st quarter,3,15,75,2004,1,1,1,0.00404686,0,0,6,665,0,0,0,0,0,Unk,L,"c(0, 0)"
04-ALS-017|2004|1,2004,AL,04-ALS-017,Fort Morgan,3,29,89,2004,3,26,86,1.011715,0,0,0,0,0,0,0,0,0,Human,H,"c(-87.816667, 30.256944)"
1224|2006|1,2006,CA,1224,Multiple June Fires,6,30,181,2006,6,26,177,0.08498406,4e5,0,0,2,247,0,1248,0,4,Lightning,NF,"c(0, 0)"
2002-10|2002|1,2002,AL,2002-10,Oct1YTD,10,1,274,2002,8,1,213,0,0,1,4,52,0,0,0,0,0,Human,NF,"c(0, 0)"
2003-01|2003|1,2003,AL,2003-01,Jan/Feb,3,4,63,2003,1,1,1,0,0,0,10,173,0,0,0,0,0,Lightning,NF,"c(0, 0)"
2003-02|2003|1,2003,AL,2003-02,Mar/Apr,5,6,126,2003,3,1,60,0,0,0,1,167,0,0,0,0,0,Human,NF,"c(0, 0)"
AK-ARR-000462|2013|1,2013,,AK-ARR-000462,Shoulder Mountain,7,24,205,2013,6,28,179,0,9e4,0,0,0,0,0,0,0,0,Lightning,H,"c(-143.533333, 67.85)"
AK-CRS-314444|2013|1,2013,,AK-CRS-314444,Excelsior,10,26,294,2013,6,27,178,24.83557982,7e4,0,0,0,0,0,0,0,1,Lightning,H,"c(-145.185083, 62.698056)"
AK-CRS-314625|2013|1,2013,,AK-CRS-314625,Tabert Lake,10,21,294,2013,7,31,212,6.0257745400000005,596072,0,0,0,5,0,10,0,1,Lightning,H,"c(-146.823333, 62.295556)"
AK-CRS-713314415|2013|1,2013,,AK-CRS-713314415,Chistochina Trail,7,30,184,2013,6,26,177,0.12545266,452281,0,0,0,28,0,106,0,1,Lightning,H,"c(-144.793611, 69.658056)"
AK-FAS-311088|2013|1,2013,,AK-FAS-311088,Louise Creek,8,29,241,2013,5,27,147,0.9671995400000001,41876,0,0,0,0,0,0,0,0,Human,H,"c(-148.861667, 63.921667)"
AK-FAS-311247|2013|1,2013,,AK-FAS-311247,Tatlanika Creek,8,29,241,2013,6,16,167,0.8093720000000001,2e4,0,0,0,0,0,0,0,0,Human,H,"c(-148.696389, 64.017222)"
AK-FAS-311248|2013|1,2013,,AK-FAS-311248,Old Valdez Trail,6,23,174,2013,6,16,167,0.0809372,626866,0,0,0,72,0,453,0,4,Human,H,"c(-146.947778, 64.404444)"
AK-FAS-311255|2013|1,2013,,AK-FAS-311255,California Creek,9,29,249,2013,6,17,168,3.1565508,33141,0,0,0,0,0,0,0,0,Human,H,"c(-148.660278, 64.025833)"
AK-FAS-311258|2013|1,2013,,AK-FAS-311258,Kanuti,7,30,199,2013,6,17,168,0.48562320000000003,1522022,0,0,0,140,0,1165,0,4,Human,H,"c(-147.098889, 64.874444)"
AK-FAS-311323|2013|1,2013,,AK-FAS-311323,Clear AFB,7,30,192,2013,6,20,171,0.3237488,1671448,0,0,0,148,0,933,0,5,Lightning,H,"c(-149.2125, 64.311111)"
AK-FAS-311388|2013|1,2013,,AK-FAS-311388,Skinny's Road,10,30,274,2013,6,25,176,7.30862916,5e6,0,0,26,477,0,5206,0,5,Human,H,"c(-148.688667, 64.736111)"
AK-FAS-311649|2013|1,2013,,AK-FAS-311649,Long Creek,8,9,221,2013,8,3,215,0.33993624,681027,0,0,2,83,0,475,0,1,Human,H,"c(-147.021389, 65.23)"
AK-FAS-311679|2013|1,2013,,AK-FAS-311679,Caribou Creek,10,29,274,2013,8,11,223,53.216209,1242928,0,0,0,56,0,226,0,2,Human,H,"c(-145.781944, 64.691944)"
AK-GAD-000292|2013|1,2013,,AK-GAD-000292,Shaktoolik RIver,8,27,213,2013,6,20,171,47.34623857,0,0,0,0,0,0,0,0,0,Lightning,H,"c(-160.297778, 64.121111)"
AK-GAD-000294|2013|1,2013,,AK-GAD-000294,Stove Creek,6,24,175,2013,6,20,171,0.29542078,0,0,0,0,72,0,306,0,3,Lightning,H,"c(-160.081944, 63.931111)"
